trip_id,arrival_time,stop_id,stop_name,service_id,trip_headsign
1,72255,U953Z102,Skalka,1,Nemocnice Motol
1,72530,U713Z102,Strašnická,1,Nemocnice Motol
1,72730,U921Z102,Želivského,1,Nemocnice Motol
1,72905,U118Z102,Flora,1,Nemocnice Motol
1,73035,U209Z102,Jiřího z Poděbrad,1,Nemocnice Motol
1,73205,U476Z102,Náměstí Míru,1,Nemocnice Motol
1,73515,U1072Z102,Můstek - A,1,Nemocnice Motol
1,73640,U703Z102,Staroměstská,1,Nemocnice Motol
1,73805,U360Z102,Malostranská,1,Nemocnice Motol
1,73950,U163Z102,Hradčanská,1,Nemocnice Motol
1,74140,U321Z102,Dejvická,1,Nemocnice Motol
1,74425,U157Z102,Bořislavka,1,Nemocnice Motol
1,74610,U462Z102,Nádraží Veleslavín,1,Nemocnice Motol
1,74815,U507Z102,Petřiny,1,Nemocnice Motol
1,75215,U306Z102,Nemocnice Motol,1,Nemocnice Motol
2,75430,U306Z101,Nemocnice Motol,1,Depo Hostivař
2,75650,U507Z101,Petřiny,1,Depo Hostivař
2,75840,U462Z101,Nádraží Veleslavín,1,Depo Hostivař
2,80025,U157Z101,Bořislavka,1,Depo Hostivař
2,80310,U321Z101,Dejvická,1,Depo Hostivař
2,80450,U163Z101,Hradčanská,1,Depo Hostivař
2,80620,U360Z101,Malostranská,1,Depo Hostivař
2,80745,U703Z101,Staroměstská,1,Depo Hostivař
2,80925,U1072Z101,Můstek - A,1,Depo Hostivař
2,81105,U400Z101,Muzeum - A,1,Depo Hostivař
2,81245,U476Z101,Náměstí Míru,1,Depo Hostivař
2,81420,U209Z101,Jiřího z Poděbrad,1,Depo Hostivař
2,81600,U118Z101,Flora,1,Depo Hostivař
2,81750,U921Z101,Želivského,1,Depo Hostivař
2,82005,U713Z101,Strašnická,1,Depo Hostivař
2,82305,U953Z101,Skalka,1,Depo Hostivař
2,82550,U1071Z101,Depo Hostivař,1,Depo Hostivař
3,82610,U1071Z101,Depo Hostivař,1,Nemocnice Motol
3,82835,U953Z102,Skalka,1,Nemocnice Motol
