trip_id,arrival_time,stop_id,stop_name,service_id,trip_headsign
1,72255,U953Z102,Skalka,1,Nemocnice Motol
1,72500,U713Z102,StraönickŠ,1,Nemocnice Motol
1,72700,U921Z102,éelivskťho,1,Nemocnice Motol
1,72845,U118Z102,Flora,1,Nemocnice Motol
1,73015,U209Z102,JiÝŪho z Podžbrad,1,Nemocnice Motol
1,73145,U476Z102,NŠmžstŪ MŪru,1,Nemocnice Motol
1,73445,U1072Z102,Mýstek - A,1,Nemocnice Motol
1,73620,U703Z102,StaromžstskŠ,1,Nemocnice Motol
1,73745,U360Z102,MalostranskŠ,1,Nemocnice Motol
1,73920,U163Z102,HradŤanskŠ,1,Nemocnice Motol
1,74110,U321Z102,DejvickŠ,1,Nemocnice Motol
1,74405,U157Z102,BoÝislavka,1,Nemocnice Motol
1,74550,U462Z102,NŠdraěŪ VeleslavŪn,1,Nemocnice Motol
1,74745,U507Z102,PetÝiny,1,Nemocnice Motol
1,75010,U306Z102,Nemocnice Motol,1,Nemocnice Motol
2,75430,U306Z101,Nemocnice Motol,1,Depo HostivaÝ
2,75620,U507Z101,PetÝiny,1,Depo HostivaÝ
2,75820,U462Z101,NŠdraěŪ VeleslavŪn,1,Depo HostivaÝ
2,80005,U157Z101,BoÝislavka,1,Depo HostivaÝ
2,80240,U321Z101,DejvickŠ,1,Depo HostivaÝ
2,80420,U163Z101,HradŤanskŠ,1,Depo HostivaÝ
2,80600,U360Z101,MalostranskŠ,1,Depo HostivaÝ
2,80725,U703Z101,StaromžstskŠ,1,Depo HostivaÝ
2,80855,U1072Z101,Mýstek - A,1,Depo HostivaÝ
2,81035,U400Z101,Muzeum - A,1,Depo HostivaÝ
2,81225,U476Z101,NŠmžstŪ MŪru,1,Depo HostivaÝ
2,81400,U209Z101,JiÝŪho z Podžbrad,1,Depo HostivaÝ
2,81540,U118Z101,Flora,1,Depo HostivaÝ
2,81720,U921Z101,éelivskťho,1,Depo HostivaÝ
2,81935,U713Z101,StraönickŠ,1,Depo HostivaÝ
2,82235,U953Z101,Skalka,1,Depo HostivaÝ
2,82505,U1071Z101,Depo HostivaÝ,1,Depo HostivaÝ
3,82610,U1071Z101,Depo HostivaÝ,1,Nemocnice Motol
3,82805,U953Z102,Skalka,1,Nemocnice Motol
3,83040,U713Z102,StraönickŠ,1,Nemocnice Motol
3,83240,U921Z102,éelivskťho,1,Nemocnice Motol
3,83425,U118Z102,Flora,1,Nemocnice Motol
3,83555,U209Z102,JiÝŪho z Podžbrad,1,Nemocnice Motol
3,83725,U476Z102,NŠmžstŪ MŪru,1,Nemocnice Motol
3,84025,U1072Z102,Mýstek - A,1,Nemocnice Motol
3,84200,U703Z102,StaromžstskŠ,1,Nemocnice Motol
3,84325,U360Z102,MalostranskŠ,1,Nemocnice Motol
3,84500,U163Z102,HradŤanskŠ,1,Nemocnice Motol
3,84650,U321Z102,DejvickŠ,1,Nemocnice Motol
3,84945,U157Z102,BoÝislavka,1,Nemocnice Motol
3,85130,U462Z102,NŠdraěŪ VeleslavŪn,1,Nemocnice Motol
3,85325,U507Z102,PetÝiny,1,Nemocnice Motol
3,85550,U306Z102,Nemocnice Motol,1,Nemocnice Motol
4,85930,U306Z101,Nemocnice Motol,1,Depo HostivaÝ
4,90120,U507Z101,PetÝiny,1,Depo HostivaÝ
4,90320,U462Z101,NŠdraěŪ VeleslavŪn,1,Depo HostivaÝ
4,90505,U157Z101,BoÝislavka,1,Depo HostivaÝ
4,90740,U321Z101,DejvickŠ,1,Depo HostivaÝ
4,90920,U163Z101,HradŤanskŠ,1,Depo HostivaÝ
4,91100,U360Z101,MalostranskŠ,1,Depo HostivaÝ
4,91225,U703Z101,StaromžstskŠ,1,Depo HostivaÝ
4,91355,U1072Z101,Mýstek - A,1,Depo HostivaÝ
4,91535,U400Z101,Muzeum - A,1,Depo HostivaÝ
4,91725,U476Z101,NŠmžstŪ MŪru,1,Depo HostivaÝ
4,91900,U209Z101,JiÝŪho z Podžbrad,1,Depo HostivaÝ
4,92040,U118Z101,Flora,1,Depo HostivaÝ
4,92220,U921Z101,éelivskťho,1,Depo HostivaÝ
4,92435,U713Z101,StraönickŠ,1,Depo HostivaÝ
4,92735,U953Z101,Skalka,1,Depo HostivaÝ
4,93005,U1071Z102,Depo HostivaÝ,1,Depo HostivaÝ
5,93310,U1071Z102,Depo HostivaÝ,1,Nemocnice Motol
5,93510,U953Z102,Skalka,1,Nemocnice Motol
5,93755,U713Z102,StraönickŠ,1,Nemocnice Motol
5,94005,U921Z102,éelivskťho,1,Nemocnice Motol
5,94200,U118Z102,Flora,1,Nemocnice Motol
5,94335,U209Z102,JiÝŪho z Podžbrad,1,Nemocnice Motol
5,94510,U476Z102,NŠmžstŪ MŪru,1,Nemocnice Motol
5,94820,U1072Z102,Mýstek - A,1,Nemocnice Motol
5,95000,U703Z102,StaromžstskŠ,1,Nemocnice Motol
5,95125,U360Z102,MalostranskŠ,1,Nemocnice Motol
5,95305,U163Z102,HradŤanskŠ,1,Nemocnice Motol
5,95455,U321Z102,DejvickŠ,1,Nemocnice Motol
5,95800,U157Z102,BoÝislavka,1,Nemocnice Motol
5,95950,U462Z102,NŠdraěŪ VeleslavŪn,1,Nemocnice Motol
5,100150,U507Z102,PetÝiny,1,Nemocnice Motol
5,100420,U306Z102,Nemocnice Motol,1,Nemocnice Motol
6,100905,U306Z101,Nemocnice Motol,1,Depo HostivaÝ
6,101055,U507Z101,PetÝiny,1,Depo HostivaÝ
6,101255,U462Z101,NŠdraěŪ VeleslavŪn,1,Depo HostivaÝ
6,101440,U157Z101,BoÝislavka,1,Depo HostivaÝ
6,101715,U321Z101,DejvickŠ,1,Depo HostivaÝ
6,101855,U163Z101,HradŤanskŠ,1,Depo HostivaÝ
6,102035,U360Z101,MalostranskŠ,1,Depo HostivaÝ
6,102200,U703Z101,StaromžstskŠ,1,Depo HostivaÝ
6,102330,U1072Z101,Mýstek - A,1,Depo HostivaÝ
6,102510,U400Z101,Muzeum - A,1,Depo HostivaÝ
6,102700,U476Z101,NŠmžstŪ MŪru,1,Depo HostivaÝ
6,102835,U209Z101,JiÝŪho z Podžbrad,1,Depo HostivaÝ
6,103015,U118Z101,Flora,1,Depo HostivaÝ
6,103155,U921Z101,éelivskťho,1,Depo HostivaÝ
6,103410,U713Z101,StraönickŠ,1,Depo HostivaÝ
6,103710,U953Z101,Skalka,1,Depo HostivaÝ
6,103940,U1071Z101,Depo HostivaÝ,1,Depo HostivaÝ
7,104510,U1071Z101,Depo HostivaÝ,1,Nemocnice Motol
7,104710,U953Z102,Skalka,1,Nemocnice Motol
7,104955,U713Z102,StraönickŠ,1,Nemocnice Motol
7,105205,U921Z102,éelivskťho,1,Nemocnice Motol
7,105400,U118Z102,Flora,1,Nemocnice Motol
7,105535,U209Z102,JiÝŪho z Podžbrad,1,Nemocnice Motol
7,105710,U476Z102,NŠmžstŪ MŪru,1,Nemocnice Motol
7,110020,U1072Z102,Mýstek - A,1,Nemocnice Motol
7,110200,U703Z102,StaromžstskŠ,1,Nemocnice Motol
7,110325,U360Z102,MalostranskŠ,1,Nemocnice Motol
7,110505,U163Z102,HradŤanskŠ,1,Nemocnice Motol
7,110655,U321Z102,DejvickŠ,1,Nemocnice Motol
7,111000,U157Z102,BoÝislavka,1,Nemocnice Motol
7,111150,U462Z102,NŠdraěŪ VeleslavŪn,1,Nemocnice Motol
7,111350,U507Z102,PetÝiny,1,Nemocnice Motol
7,111620,U306Z102,Nemocnice Motol,1,Nemocnice Motol
8,112235,U306Z101,Nemocnice Motol,1,Skalka
8,112425,U507Z101,PetÝiny,1,Skalka
8,112625,U462Z101,NŠdraěŪ VeleslavŪn,1,Skalka
8,112810,U157Z101,BoÝislavka,1,Skalka
8,113045,U321Z101,DejvickŠ,1,Skalka
8,113225,U163Z101,HradŤanskŠ,1,Skalka
8,113405,U360Z101,MalostranskŠ,1,Skalka
8,113530,U703Z101,StaromžstskŠ,1,Skalka
8,113700,U1072Z101,Mýstek - A,1,Skalka
8,113840,U400Z101,Muzeum - A,1,Skalka
8,114030,U476Z101,NŠmžstŪ MŪru,1,Skalka
8,114205,U209Z101,JiÝŪho z Podžbrad,1,Skalka
8,114345,U118Z101,Flora,1,Skalka
8,114525,U921Z101,éelivskťho,1,Skalka
8,114740,U713Z101,StraönickŠ,1,Skalka
8,115040,U953Z102,Skalka,1,Skalka
9,115240,U953Z102,Skalka,1,Nemocnice Motol
9,115455,U713Z102,StraönickŠ,1,Nemocnice Motol
9,115705,U921Z102,éelivskťho,1,Nemocnice Motol
9,115900,U118Z102,Flora,1,Nemocnice Motol
9,120035,U209Z102,JiÝŪho z Podžbrad,1,Nemocnice Motol
9,120210,U476Z102,NŠmžstŪ MŪru,1,Nemocnice Motol
9,120520,U1072Z102,Mýstek - A,1,Nemocnice Motol
9,120700,U703Z102,StaromžstskŠ,1,Nemocnice Motol
9,120825,U360Z102,MalostranskŠ,1,Nemocnice Motol
9,121005,U163Z102,HradŤanskŠ,1,Nemocnice Motol
9,121155,U321Z102,DejvickŠ,1,Nemocnice Motol
9,121500,U157Z102,BoÝislavka,1,Nemocnice Motol
9,121650,U462Z102,NŠdraěŪ VeleslavŪn,1,Nemocnice Motol
9,121850,U507Z102,PetÝiny,1,Nemocnice Motol
9,122120,U306Z102,Nemocnice Motol,1,Nemocnice Motol
10,122735,U306Z101,Nemocnice Motol,1,Depo HostivaÝ
10,122925,U507Z101,PetÝiny,1,Depo HostivaÝ
10,123125,U462Z101,NŠdraěŪ VeleslavŪn,1,Depo HostivaÝ
10,123310,U157Z101,BoÝislavka,1,Depo HostivaÝ
10,123545,U321Z101,DejvickŠ,1,Depo HostivaÝ
10,123725,U163Z101,HradŤanskŠ,1,Depo HostivaÝ
10,123905,U360Z101,MalostranskŠ,1,Depo HostivaÝ
10,124030,U703Z101,StaromžstskŠ,1,Depo HostivaÝ
10,124200,U1072Z101,Mýstek - A,1,Depo HostivaÝ
10,124340,U400Z101,Muzeum - A,1,Depo HostivaÝ
10,124530,U476Z101,NŠmžstŪ MŪru,1,Depo HostivaÝ
10,124705,U209Z101,JiÝŪho z Podžbrad,1,Depo HostivaÝ
10,124845,U118Z101,Flora,1,Depo HostivaÝ
10,125025,U921Z101,éelivskťho,1,Depo HostivaÝ
10,125240,U713Z101,StraönickŠ,1,Depo HostivaÝ
10,125540,U953Z101,Skalka,1,Depo HostivaÝ
10,125810,U1071Z101,Depo HostivaÝ,1,Depo HostivaÝ
11,130510,U1071Z101,Depo HostivaÝ,1,Nemocnice Motol
11,130710,U953Z102,Skalka,1,Nemocnice Motol
11,130955,U713Z102,StraönickŠ,1,Nemocnice Motol
11,131205,U921Z102,éelivskťho,1,Nemocnice Motol
11,131400,U118Z102,Flora,1,Nemocnice Motol
11,131535,U209Z102,JiÝŪho z Podžbrad,1,Nemocnice Motol
11,131710,U476Z102,NŠmžstŪ MŪru,1,Nemocnice Motol
11,132020,U1072Z102,Mýstek - A,1,Nemocnice Motol
11,132200,U703Z102,StaromžstskŠ,1,Nemocnice Motol
11,132325,U360Z102,MalostranskŠ,1,Nemocnice Motol
11,132505,U163Z102,HradŤanskŠ,1,Nemocnice Motol
11,132655,U321Z102,DejvickŠ,1,Nemocnice Motol
11,133000,U157Z102,BoÝislavka,1,Nemocnice Motol
